,product name,Ratings,discounted price,orignal price,percentage discount
0,"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹38,999","₹47,900",18% off
1,"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹38,999","₹47,900",18% off
2,"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999","₹52,900",18% off
3,"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹38,999","₹47,900",18% off
4,"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹32,999","₹39,900",17% off
5,"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999","₹52,900",18% off
6,"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹32,999","₹39,900",17% off
7,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹32,999","₹39,900",17% off
8,"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999","₹52,900",18% off
9,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹38,999","₹47,900",18% off
10,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹38,999","₹47,900",18% off
11,"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999","₹52,900",18% off
12,"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999","₹52,900",18% off
13,"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹37,999","₹44,900",15% off
14,"Apple iPhone 11 Pro (Midnight Green, 64 GB)",4.6,"₹79,999","₹1,06,600",24% off
15,"Apple iPhone 12 (Black, 128 GB)",4.8,"₹84,900",price is ot reduced for this item,no discount on this item yet
16,"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹37,999","₹44,900",15% off
17,"Apple iPhone 12 (White, 128 GB)",4.8,"₹84,900",price is ot reduced for this item,no discount on this item yet
18,"Apple iPhone 11 Pro (Space Grey, 64 GB)",4.6,"₹79,999","₹1,06,600",24% off
19,"Apple iPhone 11 Pro (Space Grey, 256 GB)",4.6,"₹92,999","₹1,21,300",23% off
20,"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹47,999","₹54,900",12% off
21,"Apple iPhone 11 Pro (Silver, 64 GB)",4.6,"₹79,999","₹1,06,600",24% off
22,"Apple iPhone 12 (Red, 128 GB)",4.8,"₹84,900",price is ot reduced for this item,no discount on this item yet
23,"Apple iPhone 11 (White, 64 GB) (Includes EarPods, Power Adapter)",4.7,"₹54,900",price is ot reduced for this item,no discount on this item yet
