,views on channel,title of the vedio,published
0,19M views,Learn Python - Full Course for Beginners [Tutorial],2 years ago
1,5.2M views,SQL Tutorial - Full Database Course for Beginners,2 years ago
2,4.7M views,Learn JavaScript - Full Course for Beginners,1 year ago
3,4.7M views,C++ Tutorial for Beginners - Full Course,2 years ago
4,3.3M views,Full Ethical Hacking Course - Network Penetration Testing for Beginners (2019),1 year ago
5,3M views,C Programming Tutorial for Beginners,2 years ago
6,3M views,C# Tutorial - Full Course for Beginners,2 years ago
7,2.5M views,HTML Full Course - Build a Website Tutorial,2 years ago
8,2.1M views,Learn React JS - Full Course for Beginners - Tutorial 2019,1 year ago
9,2.1M views,Learn Java 8 - Full Tutorial for Beginners,2 years ago
